,Unnamed: 0,id,teacher_id,teacher_prefix,school_state,project_submitted_datetime,project_grade_category,project_subject_categories,project_subject_subcategories,project_title,project_essay_1,project_essay_2,project_essay_3,project_essay_4,project_resource_summary,teacher_number_of_previously_posted_projects,project_is_approved
39,82196,p073721,0dd261f5280443f35cde6974660c3ccd,Ms.,FL,2016-09-26 16:20:01,Grades 9-12,Literacy & Language,"Literacy, Literature & Writing",Engaging Students through Technology,"I work at a magnet school, located in the middle of government housing.  Some of my students don't have parents, live in places overrun by drugs and violence, some of them have to work to support their families, many of my students are low-income.  The rest of my students are majoring in the arts; they are outstanding musicians, dancers, artists, creative writers, and journalists.  This eclectic group of young people drive me to be my best everyday.\r\n\r\nOur school celebrates diversity.  75% of students are African American, 15% White, and 10% Asian and Hispanic and other.  And it works.  I look at my students and I see the future.  They are diverse, and yet, they appreciate and love each other.  Each one of my students are so wonderful in their own unique way. I'm so privileged to work with these young people.","My desire is to have a class set of tablets (25) for my English 2 Honors and on-level classrooms.  There are so many opportunities and ways in which to use technology in the classroom; unfortunately, if the technology is not available, we cannot utilize all of those amazing tools.\r\n\r\nStudents connect with technology, and technology is how we should engage our students in learning.  A few examples of how I would use the tablets in my classroom include: online review games such as kahoot, students participation in powerpoint presentations through nearpod, research projects such as learning about the 1920s before we read \""The Great Gatsby\"", online assessments, submitting writing and other assignments, practice SAT quizzes, and vocabulary games. \r\n\r\nMy students get excited when I use technology in the classroom, although it is challenging when students do not have phones, they are out of data, their phones is not working, ect.  I don't want to be limited in the things I can do in the classroom.  These tablets will help me reach my students in new and exciting ways.",,,My students need a class set of tablets to engage in the curriculum for English 2.,0,1
40,20061,p246309,9316168ca50218cdba0a08d57a011c6d,Ms.,CA,2016-08-03 12:00:38,Grades PreK-2,Literacy & Language,"Literacy, Literature & Writing",Leveling Books in a Multi-Age Class,"My students come from a Title 1 school located in Santa Ana, California. We are a Charter School that has no curriculum provided to us, so our students have to get creative and find new ways to show what they've learned using resources in the classroom. Our school serves students with a range of disabilities and various academic levels.\r\n\r\nThis year our school is switching to multi-age classrooms so my classroom will consist of TK, Kindergarten, and 1st grade. These are students who either have not ever been in school before or have a couple years under their belt. Kids ranging from 4-7 years old do not enjoy sitting still for long periods of time and need a chance to get their wiggles out while reading a good book or just completing their daily assignments.",Donations to this project will help students ranging in age from 4-7 have access to books that they otherwise would not have access to. Students at this age are just now being exposed to learning to read and write and this can be reinforced by having access to age appropriate books in the classroom.\r\n\r\nStudents are so excited when they find a word they recognize in a book they are reading. Learning sight words is more fun when you can see that the words show up more often than just in the classroom as you practice writing. Help us expand our imaginations with books!,,,"My students need books that are appropriate for their age levels which range from 4-7 years old. At these young ages, students are developing their enthusiasm for learning to read and write.",2,0
41,35801,p188913,ee015d06fe1fecd251237e00a6b77f95,Mrs.,OK,2016-12-30 20:06:54,Grades PreK-2,Literacy & Language,Literature & Writing,A Twist for Writing Traits for My First Graders,"My first graders this year are lovable, energetic and very social. They are smart and super eager to learn. They are very helpful and caring to each other! I have an unusually big class this year but the kiddos are working well and adapting very well! I teach first grade in an amazing school! This school is a true neighborhood school. I love it! I am excited to see their growth this school year. I have 12 boys & 13 girls.",The materials I have requested will help my first graders learn early on how to be a great writer. The 6 traits box includes exciting books & strategies to implement in the classroom of how to be an expert writer. The 6 traits ties in literature skills also. Children are expected to pass the state writing exam in 5th grade! I want to ensure my children have the basic tools for future success. The materials I have included in this project will impact my first graders by giving them the first steps of becoming a successful writer. This will improve their writing skills.,,,My students need the Six Traits to help teach them the correct procedure for writing. I just completed a workshop on the 6 core traits children need to know to improve their writing.,3,1
42,161911,p042925,9238bd959b9a109d95fd8d9ad422d117,Ms.,WV,2017-02-23 12:07:03,Grades PreK-2,Literacy & Language,"Literacy, Literature & Writing",We Need Non-Fiction!,"My classroom is full of collaboration, small group centers, problem solving, and interaction. I let my kids read silently with any of their free time. They don't just read books, but explore books and articles on iPads. There has been a push to encourage children to read non-fiction text and I have come to find that my students enjoy these stories far more than the fictional stories in their reading books.  I am trying to increase fluency, accuracy, and comprehension in my 2nd graders.\r\n\r\nMy kids are an energetic group of learners. They love exploring new things, trying new activities, learning different ways to use technology, and being active learners in the classroom. I want to keep encourage my kids to read, investigate, and research things that interest them.\r\n","While our reading book has a few non-fiction selections, they are mostly fictional stories. When we do have a non-fiction story for the week, I find my kids far more engaged in the story and asking tons of questions. We often end up doing research beyond the text to answer their curious little minds. \r\n\r\nI encourage all children to become life long learners.\r\nI remember reading Scholastic weekly readers when I was in school and I remember loving them! I remember reading interesting stories and articles and answering questions. It didn't seem like work... it was fun. Recently, Scholastic sent me a few samples of the weekly readers. One was called \""Dr. Seuss Never Gave Up.\"" It goes right along with Dr. Seuss week next week at our school! I started really looking at the samples and decided these would be a perfect way to have a weekly non-fiction addition to our reading story for the week!  I hope this will be a great encouragement for my students to read even more and ask even more questions about the world!",,,"My students need subscriptions to Scholastic Magazine non-fiction weekly readers. I have found that my students are most interested when we can read, investigate, and research non-fiction materials over the fictional stories in their reading books.",1,1
43,51612,p148938,621d00e8d8f8d74cddd23eeac0a0027a,Mrs.,NV,2017-03-07 12:54:01,Grades 3-5,"Literacy & Language, Music & The Arts","Literacy, Visual Arts",All Hands on Tech!,"My students are a very diverse group. We are made up of boys, girls, African American, Caucasian, Hispanic, Asian, English Language Learners, Hard of Hearing and Deaf children. We may be different from one another, but we all love learning with and from each other! We are a Title I school with large class sizes and a lack of resources. The majority of students qualify for free or reduced-price lunch. We also have many military families as part of our school community. Because of our military population and the transient nature of our city, we often have students moving in and out of our school.","After ten years of teaching first grade, I was given the opportunity to teach a technology class to all students in my school. Not only was this class new to me, but to the students as well. We do not have enough laptops, computers, iPads, or Chromebooks combined for each student to use individually while in my class. This has become a challenge while we work on individual projects and assignments.\r\nThis project will help supply additional Chromebooks to get my new classroom prepared for students to learn and become successful users of technology.\r\nEach student will has a google account given to them by the school district. The Chromebooks will give them an opportunity to log into their Google accounts and use Google Apps for Education to create and collaborate with each other on assignments. Students will learn how to efficiently type papers they have worked on in class and share their work with their homeroom teachers.\r\nMy students work hard on their projects and do not have a way to show their peers what they have accomplished. The printer will allow students to print their work to display and/or share with their families.  We currently are unable to print from the technology in my classroom.   Another way they can show their work is using the Chromecast.  They will be able to project their work using the Chromecast to display, present, etc.  \r\nI look forward to seeing all of the amazing things my students, grades Kindergarten through Fifth, can produce, share, and present with these materials!",,,"My students need two Chromebooks, a Chromecast, a colored printer, and ink.",13,1
44,164595,p017389,59c69be14d115c479baa9ea0bad3132e,Mrs.,LA,2017-01-05 21:53:48,Grades PreK-2,Math & Science,Mathematics,Pressing on to Mastery After the Flood,"As a teacher in a low-income/high poverty school district, my students are faced with several challenges both in and out of the classroom. Despite the many challenges they face, I am looking to keep things simple and provide my students with creative and meaningful learning experiences.\r\n\r\nMy students are creative, clever, and very spontaneous. They like to move, they love to read, and they love lots of positive attention. Many of them are being raised in single parent households, and all receive a free lunch based on their socioeconomic status. These things may prevent them from getting ahead early in life and may not provide them with the life experiences many of us see as \""typical.\"" From the minute they walk in the door of my classroom, I focus on their potential and growth while they are with me. I may not be able to control their home lives; however, I can certainly control their experience during the school day. By doing this in a creative and positive way, I am hopeful to inspire even our earliest learners to continue on a path of academic excellence.","By using the place value manipulative, the students will build a strong number sense.  They will gain confindence in their ability to add and subtract three digit numerals.  Through the usage of the elmentary maniputlative the students will have real understanding  of equal to, less than, and greater than.  \r\n\r\nThe flood cannot hold us back.  We are marching on to mastery.\r\nWe will master the skills of adding, subtracting, money, and place value.  We will not be the kids left behind.  We will climb to the top and soar beyond measure.  We will conquer every stronghold that tries to hinder us.",,,"My students need will have the opportunity to build their math skills in place value , money, data and graphing and tens frames.\r\nAs they utilize the manipulative, they will need resources to store the items.",4,1
45,109513,p134463,38be3961e02a4ecb902bd260e68644ec,Mrs.,ID,2016-12-18 17:30:15,Grades PreK-2,Literacy & Language,"Literacy, Literature & Writing",Chromebooks Create Intrigue And Motivation While Filling In The Gaps!!,"As a teacher in a low-income/high poverty school district, my students are faced with several challenges both in and out of the classroom. Some students are living in less than desirable home situations, and school is a place of stability in their otherwise chaotic lives. \r\n      One of the many challenges they face is access to technology. How can we close the achievement gap when students do not have the necessary materials to succeed?  These students are our future and I want to provide them the opportunity to experience meaningful learning experiences throughout the use of technology in the classroom. \r\n       Since most of students are socio-economically disadvantaged it may prevent them from getting ahead early in life and may not provide them with the life experiences many of us see as \""typical\"" or \""normal\"". \r\n        From the minute my students enter the classroom, I focus on their potential and growth.  Since I cannot control their home lives, I can certainly control their learning experience during the school day. My students are dreamers, talkers, and questioners and I am hopeful to inspire them to continue on a path of academic  excellence.","Literacy is a basic foundation that carries over into every facet of a child's life and continues into adulthood as well as technology. Since my students face a variety of challenges due socioeconomic disadvanteges, they move in and out of schools several times a year. This creates a wide range of learning gaps and can make a student feel like giving up. The use of Chromebooks will create a spark of intrigue and draw students in. This technology will also make filling in the learning gaps much easier and my students will be immediately immersed in loads of literacy interaction.",,,My students need 5 Chromebooks to access their differentiated literacy instruction through the Lexia Reading Core5 program. This will individually help fill in their various learning gaps.,3,1
46,102026,p003301,57eff79d4c876eb811d20fa04fc25f99,Ms.,TX,2017-03-29 15:18:26,Grades 6-8,Literacy & Language,Literature & Writing,All Out of Paper!,"My goal as an instructor is to be a proactive advocate for each of my students.  I hope to provide an educational environment for them that encourages a life long love of learning and curiosity. In my class I revel in my students' passions and actively push to include their interests in our learning.\r\n\r\nAll students at my Title 1 school qualify for free breakfast, lunch, and after school snack.  Although my students are faced with unbelievable challenges outside of the classroom they are persistent and determined to better themselves through education.",In January the teachers at my school were each given one box of printer paper (with just 6 reams of paper) to last the rest of the year. As a reading and writing teacher of over 120 students this was not enough to cover our needs.  \r\nWe are transitioning from a heavy writing focus back to reading for the final two months of the year and we need more paper so that students may each have their own copies to annotate.  The color folders will be used for student work in reading circles to keep every assignment organized and clean.,,,My students need folders and paper because our school has run out!,3,1
47,2606,p001172,8a91e80c43005c415e2206fe0be49f40,Mrs.,TN,2017-03-25 11:38:44,Grades 3-5,"Warmth, Care & Hunger","Warmth, Care & Hunger",Keep Our Closet Open,"Our students work so hard to be the best leaders they can be. Our school is located in Memphis, Tennessee, and many of our students come from homes with obstacles to overcome. Most of my students come from single-parent households. Many live in poverty, and I make it my goal to take them out of their reality.  \r\n\r\nDespite their many obstacles, our students rise to the challenge, every day, to be the best versions of themselves, so they can help each other. We take soccer, a sport that they love, and we use it as a tool to encourage them to stay after school for mentoring and practice.\r\n\r\nOur school is one of the most diverse schools in Memphis. Our students speak multiple languages including English, Spanish, Arabic, Hindu, Amharic, and Swahili. My students have a strong sense of community. We use sports as a universal language.","Last year we started a very exciting projet at my school - one that is really important. Our hygiene closet is stocked with basic hygiene supplies - toothbrushes, deodorant, soaps, feminine products, etc. Our students can take ownership and get these supplies as needed by simply talking to a teacher. Many of the students don't have families who can afford to buy these basic supplies and so this will give them the chance to get what they need. A healthy, clean, student is going to have a better attitude and confidence, and they are going to be able to come to school more ready to learn. Especially now, many of our families are struggling and we need to make sure we can continue to provide them with help.\r\n\r\n\""People first concern themselves with meeting their basic needs; only afterwords, do they pursue any higher needs.\"" -Abdolkarim Soroush",,,"My students need sanitary napkins, wipes, lotion and soap to keep clean.",14,1
48,104551,p244873,a3bbb67c45b1a21db1f91faaa9ab2a75,Ms.,CT,2017-01-29 22:19:12,Grades PreK-2,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",Chromebook's Are Gold,"The students at our school come from a mainly low-income/high need background and face many challenges when it comes to learning in the classroom. Their outside lives of course come with them inside sometimes making it hard to focus on sitting still and working. \r\n\r\nThe 2nd graders at RCLA are diverse in their attitudes, loud, funny, courageous, and truly enjoy learning. \r\n\r\nOur school is 100% free breakfast and lunch with many students receiving food to take home on the weekends. They live in single parent homes, take care of younger siblings, and miss school because parents have to work. \r\n\r\nDespite this, they want to be the President of the U.S., NBA basketball players and teachers among other things. They can achieve their dreams if we give them the tools to do so.","My school has a few Chromebook carts that are shared amongst all of the classrooms in the building and each room has four computers. Many of my students would benefit from having use of a computer more often in the classroom without being in the back of the room.\r\n\r\nHaving Chromebooks in the classroom for students to use during instruction, independent work and small group will give students the opportunity to learn in a way that is more attentive to their needs.\r\n\r\nHaving touch screen and regular Chromebooks in the classroom would allow students to research during reading and writing, practice their typing and take part in programs such as Lexia and Reflex Math. Students would enjoy being able to partner-up to find articles on animals or write stories during center time.\r\n\r\nThere are some students that have trouble completing work on paper but can complete work on the computer. Having Chromebook access in the classroom would allow them to work productively at their desks without being a distraction to others. \r\n\r\nHaving more technology in the classroom would be a great asset to my students!",,,"My students need Chromebooks in the classroom to help them research, write and practice their reading and math.",4,1
49,152873,p159756,c02c2e7b366d6dbe76b7375bc111e14f,Mrs.,CA,2016-08-13 13:15:13,Grades PreK-2,Health & Sports,"Gym & Fitness, Health & Wellness",Rainy Day Run Around!,"Located in the Bay Area, our city is a melting pot of diversity and culture and our school is home to amazing students who enjoy and embrace each other. With a variety of excited and motivated learners, our class is dedicated to implementing more science and technology into the classroom. \r\n\r\nStudents are eager to learn new science curriculum as well as develop skills and strategies to make them better readers. In the classroom, students are full of energy, positivity, and confidence. They enjoy learning new things, especially topics related to science. They are inquisitive and determined, and as an educator, I intend to continue nurturing this drive. As an enthusiastic and energetic educator, I am looking forward to helping my students reach for the stars, theoretically and literally!","My students enjoy being active outside as well as inside the classroom, and Rainy Day Recess won't stop them from being active! They have requested to participate in regular activities that get them up and moving throughout the day. In addition to Rainy Day Recess activities, they will benefit from regular \""body breaks\"" as well as \""brain breaks\"" every day. This allows for them to get up and move and get their wiggles out. They will need a bright and colorful carpet with a design which allows for them to have individual space. \r\nThe requested carpet provides them with ample room to participate in fun and invigorating indoor activities, like hot potato, \""Farmer and the Pig\"", speed ball, and many others, all while respecting the space each child needs to participate. Additionally, the carpet provides them with space for daily yoga, dancing, and indoor PE. They will also benefit from books on nutrition, and maintaining a healthy and active lifestyle. On rainy days, they will benefit from an indoor playground, which can be created with the use of balancing pods. The use of fitness dice will allow students to take ownership of their activity, as each child will have a turn in rolling the dice to determine how many of each activity we should do as a group. \r\nThese supplies will help encourage students to be active and to have fun while doing so. Even on rainy days when students are stuck inside, they will be able to stimulate their minds and bodies by balancing on the indoor obstacle course, practicing stretching on the carpet, rolling the fitness dice to stay active, or construct a game of \""Farmer and the Pig\"". Health, fitness, and nutrition are important to me and my students!!",,,"My students need a colorful carpet to provide structure for active learning throughout the day. Additionally, they need supplies to create an indoor playground during Rainy Day Recess time!",3,1
50,118685,p006971,dd83d6d7846a033806cdb512e10d7d7c,Mrs.,NC,2016-08-03 13:07:20,Grades PreK-2,Health & Sports,"Gym & Fitness, Health & Wellness",Be Active! Be Energized!,"The students in our rural NC school come from various backgrounds with many different learning styles and abilities. Many are from military families that have a mother or a father that are deployed. A large portion of our population are English Language Learners that only hear English spoken during the time they are at school. Our entire school population receives free breakfast and lunch.  Although our school is in a high poverty area, our students are eager to learn. They are driven to work hard in and out of the classroom.  They enjoy the time we spend outdoors! They love to be active and play with our limited outdoor equipment choices!","My students enjoy their time outside each day! They have asked for specific activities that will help them be more active while letting them have fun!  These cone obstacle course activities and hurdles will allow the students time to be active and more energized while moving from station to station! Each cone station will offer a different activity while allowing the students to move through rotation stations!  After they have completed the full rotation, the students will have had the opportunity to move in many exciting and energizing ways thus allowing them to be active!  The cone stations are easily set up by the students themselves which will give them ownership! Students are more apt to use the equipment if they feel it is their ideas to participate!  The colorful designs as well as the activities involved will have them hooked from the first time they set them up and will draw more students to participate!",,,My students need cone activities with hurdles so they can have play equipment outdoors that is meaningful and will help them be more active!,12,1
51,165685,p166449,36147992bd73c0ca375e641a5a70bd94,Ms.,GA,2016-05-20 15:06:27,Grades 3-5,Literacy & Language,Literacy,"Great Books / Clean, Organized Filing Cabinets = Successful Students","\""I think the Coyote is embarrassed because  he bragged about being faster than the Rabbit, but he still lost- look how his face is all sad.\""  ' Well, I  think the rabbit was kinda mean to trick the Coyote - he cheated!\""  \""Nah - that Coyote deserved it!\""  This is just a small example of what you will hear if you visit Room 210. Here, students work hard to decipher text, make sense of what they read, infer deeper meaning, and appreciate the author's craft. It is magical, really, especially when you consider the barriers that many of these students must hurdle.\r\n\r\nStudents who enter Room 210 come from different socio-economic levels, different ethic and racial groups, different home environments, but they all have one thing in common: reading is DIFFICULT!   Even so, reading is what they do here.   These students are all a part of the Early Intervention Program, which identifies and provides extra support for struggling learners.  They work hard every day to hone reading skills that will carry them into a successful future.","Four drawer filing cabinets are an essential component in the organization of the  reading workshop in Room 210.  Through our  program, the students are able to select books of interest to them within their personal reading level. Research indicates that having student spend a good amount of time reading on level will improve their reading ability.   Because multi-grade levels access this classroom, every reading level is represented.  the amount of books needed to support this program is staggering!  Even more so is the management of the books. \r\n\r\nOur goal is for each student to have complete and easy access to books that are neatly stored; in a system that is simple to understand for all students.  The filing cabinets will provide such a system. Even our youngest students will be able to find their level  and select books that appeal to them.  Our struggling readers will feel so much better about reading when they can be independent and choose what they want to read rather than what the teacher tells them to read.  The results will be stronger readers who may even learn to love reading!",,,My students need four drawer filing cabinets so students have an organized and clean place to store and access their reading books.,0,1
52,177204,p107166,956885c8cc931c9216bc96097ace4a81,Mr.,NY,2016-12-09 14:48:42,Grades 6-8,"Math & Science, History & Civics","Mathematics, Social Sciences",Stand and Learn,"I teach 50 incredibly talented and amazing students.  They come to school eager to learn and to be a unique and special part of our school community.  They come to school full of ideas and experiences to share everyday.  Having such a diverse array of personalities and learning styles can make it challenging in a classroom that isn't as dynamic as the students using it.\r\n\r\nMy students want to excel and thrive in the classroom, but we could use a few new pieces of equipment to really take our classroom to the next level.  As you can remember from your childhood or current experience with kids, it can be difficult to sit and stay focused for long periods of time.  We are intrinsically active beings and many kids learn best when given opportunities to move around during lessons.  I am looking for help in making my classroom better suited to my students' unique learning styles.","We all know people who can not sit still, maybe that person is you.  Kids need to get up out of their seat and move around.  The problem is often times that takes them away from their work.\r\n\r\nThese sit-stand tables will allow my fidgety students the opportunity to seamlessly sit or stand throughout a lesson, allowing their work to move with them.  In a perfect world the entire school would be filled with dynamic yet practical classroom furniture.  I am hoping with these two tables I can at the very least keep my four neediest students actively engaged for my entire period!",,,My students need a work station that can move with them.  These sit-stand desks will easily adjust with the students as they feel the need to stand and sit during a lesson or desk/group work.,0,1
53,133605,p039013,a3e650c7162dd5a222f4cfa3a0738f5f,Ms.,MA,2017-01-21 12:00:25,Grades PreK-2,Literacy & Language,Literacy,Reading Together!,"My students are enthusiastic and engaged learners who are growing every day as scientists, engineers, artists, mathematicians, writers, and readers. Come in and they will eagerly tell you about the special friendship Elephant and Piggie have, how light travels through different materials, and the different strategies they use to read tricky words.  \r\n\r\nMy students attend our district's first STEAM elementary school. Every day they are encouraged to observe and ask questions about the world around them, think of and create solutions to problems, and persevere in everything they set out to accomplish. They are the future!\r\n","The books I am requesting will be used every day during guided reading. Guided reading is a time where students work in a small group with the teacher to learn reading skills and strategies to help them grow into independent readers. After decoding the book with the small group, students then keep the book in their book bag to reread throughout the week. Students not only learn from the teacher, but from their peers, working together to read a text. By the end of the week, students can successfully read a new book and feel so accomplished!\r\n\r\nFirst grade is an influential time in developing lifelong reading skills and strategies and having quality fiction and nonfiction books will create a strong foundation for reading success!\r\n\r\nThese books will provide my students with multiple opportunities to grow into independent readers throughout the school year.",,,My students need leveled fiction and nonfiction books for guided reading!,5,1
54,67152,p229865,e3a60752eb4ba0c83474bbf74f950d56,Ms.,NY,2016-11-23 15:10:55,Grades PreK-2,Health & Sports,"Gym & Fitness, Health & Wellness",Swim For Life At YMCA!,"My second graders are voracious readers! They love to read both fiction and non-fiction books. Their favorite characters include Pete the Cat, Fly Guy, Piggie and Elephant, and Mercy Watson. They also love to read about insects, space and plants. My students are hungry bookworms! They are eager to learn and read about the world around them. \r\n\r\nMy students love to be at school and are like little sponges absorbing everything around them. Their parents work long hours and usually do not see their children. The children are usually cared for by their grandparents or a family friend. Most of them do not have someone who speaks English at home. Thus, it is difficult for students to acquire language.  \r\n\r\nDue to financial hardships, my students do not have the opportunity to participate in extracurricular activities during the school year or summer.","My second graders will be participating in the Swim for Life program at the YMCA for 10 weeks.  The focus of Swim for Life is to teach second graders basic aquatic skills to make them safer in and around the water.  Achieving competency in and around water can result in a number of positive outcomes such as saving children's lives, enhancing their enjoyment of water activities, improving overall fitness, and building self awareness through the mastery of a life skill.  My second graders will attend 10 weekly sessions to learn how to swim.  \r\nThe majority of my second graders do not know how to swim. Swimming is an important life skill for students to master.  We are fortunate to have the opportunity to take free swimming lessons at the YMCA.  My students need swim bags to help them keep all of their belongings organized and ready for swimming.  Students will keep their clothes, goggles, towel, and swimming cap in their swim bags.  The sturdy and colorful swim bags will hold all their swim gear.   After each session, students will clean their swim gear and return their swim bags to school.  \r\nYour donations to this project will allow my students to have the necessary materials needed for a successful and fun extracurricular activity. Students will learn a much needed life skill and have an opportunity to exercise in a safe and organized environment. Due to financial hardships, majority of my students will otherwise not have this opportunity to learn how to swim.\r\n",,,My students need Speedo ventilator mesh equipment bags to safely carry their swimming gear to and from the pool.,81,1
55,43897,p072143,0aa0562dc5fa7a7ad6f8bbbb700f7dfe,Mrs.,CA,2016-09-01 00:29:58,Grades 3-5,Math & Science,"Applied Sciences, Mathematics",StEM: We Need to Capitalize on Technology!,"My students attend a spirited California public school with a population of nearly 750. \r\nOur location provides instruction to students of many different lifestyles, languages, and academic abilities. It also houses specialized Autistic classes ranging from preschool to intermediate grades.\r\nWe value providing children a rewarding and enjoyable experience. All of our educational programming operates with two tenets in mind, \""We are here for the children,” and \""Parents are their children’s first teacher.\"" Our school provides a challenging curriculum while allowing students to explore and develop their interests and talents. Due only to the support of our PTA, private donations, and parents, we are able to offer interventions, STEM lessons, and various other enrichment opportunities.","Unfortunately, with budget cuts and staffing constraints, our location has lost our computer resource instructor and struggles with outdated computers that often times aren't operating properly. Students are no longer able to access a computer lab location due to machines riddled with errors and unable to operate the newest versions of educational software. As desktops are removed, work areas sit empty. The current solution is an inadequate number of Chromebooks housed in mobile carts. \r\nTechnology experience is vital for children in education. STEM education cannot exist with out it. Please help me empower our future and provide my students with career and college readiness. Thank you for your interest!",,,"My students need four HP Chromebooks and an iPod Touch to access STEM curriculum, and digitally document evidence of learning.",7,0
56,23201,p166197,034ff64dd534e7bc75bea0894f3ee129,Ms.,KY,2016-11-03 13:11:33,Grades 6-8,Special Needs,Special Needs,"But First, Coffee!","A lot of people look at my students and see a disability. They see behaviors. They see physical impairments, medical needs, and communication needs. But if you look past that disability- you see personalities that can't be matched. You see joy + humor. + you see POTENTIAL. \r\n\r\nPotential to be and do something great. Potential to contribute to society and make a difference. Potential to learn + grow + socialize, just like the typical students that surround them. \r\n\r\nAs their teacher, I am their advocate. You can be an advocate, too! I want them to know that people care about them, love them, and believe in them. They change my world for the better every day, and I'm hoping through Donors Choose, I can help make their world a little better as well.","These products we are asking for will not only allow these students an opportunity to raise money for supplies + upcoming trips, but will also provide them a chance to be a part of something special. Students will get to learn the skills needed to make coffee, prepare orders, handle money and the social skills needed to deliver the coffee. \r\n\r\nThese skills give the students a chance to make a difference in their own lives. So often these students are the ones that receive the help and rarely do they get to be the ones to contribute. Through this opportunity, they will get to be a part of fundraising for their trips. The feelings of accomplishment + pride this will bring is unmatched! \r\n\r\nTHANK YOU in advance for the supplies!",,,"My students need a coffee pot, coffee, cups + sleeves, and creamer to make this project possible!",0,0
57,18759,p182574,c18388b85903076b263f5f81c05f6ad4,Mrs.,CA,2016-12-07 20:15:50,Grades 3-5,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",The Mouse Hunt,"Our Lucia Mar School District has a vision for our students to be successful in the 21st century skills. Our school population is made up of a wide variety of students. For example our classes are a combination of English language learners, low socioeconomic students, gifted and talented, high achieving and mainstreamed special education students. \r\nAll of our students enjoy highly engaging activities that incorporate collaboration and technology. Our school utilizes google classroom, google apps for education and students are learning about coding. They are excited about utilizing their knowledge in real world situations.","Using wireless mice with our classroom Chromebooks will make it easier for the students to complete their classroom projects such as research activities and creating presentations. The students use differentiated learning tools such Khan Academy, Code.org, and teacher developed online learning resources. They also take computer based world-wide assessment three times a year in reading, language arts and math and the state academic assessment, CAASP, at the end of the year on their computers. These assessments are used school-wide for individual student goal setting.\r\nThe students have a hard time using the built in track pad on the Chromebooks thus making a wireless mouse critical to their success.",,,"My students need wireless mice to use chromebooks effectively and efficiently while conducting research, collaborating with other students, giving presentations and using online learning programs.",0,1
58,13592,p098365,25494963f3d71499c404d175759a0520,Mrs.,AR,2016-10-17 22:58:34,Grades PreK-2,Literacy & Language,Literature & Writing,Awesome Authors Need a Terrific Table,My school is a Title I school in Central Arkansas. My school serves students Pre-K through Fifth Grade. Approximately 90% of our students are on a free or reduced lunch program. Many of the students do not come to school prepared with the materials they need to be successful. \r\nThis is my first year teaching and I am excited to be teaching Kindergarten! I can't wait to start making a difference in the lives of my students! This is going to be a great year!,"My students need a new writing table to reach their full potential of being awesome authors. A writing center is very important in any Kindergarten classroom and I want to give my students the very best! I want my students to have plenty of room to work and have plenty of room to store the needed materials that will be in the writing center.\r\nThis new writing table will be a great addition to our classroom and to our centers. In my classroom our motto is \""Try our best and be our best!\"" This will help my students become the best authors that they can be!",,,My students need a new writing table to become the best writers they can be!,3,1
59,23173,p233193,93b0069a66591df7b13cf1e5a61d36f1,Mr.,AL,2017-01-07 19:24:17,Grades 6-8,Literacy & Language,"Literacy, Literature & Writing",Interactive Assessments,"This year, I am moving from a high school to a middle school within the same district. Being in a major port city, my district is filled with diversity that contributes to so many amazing personalities in each class. \r\n\r\nHaving a diverse group of students makes a teacher's experience more amazing. I teach in an awesome community with that many parents send their child to from other zones.\r\n\r\nMy students deserve nothing short of the very best for their learning.","A test every single Friday is an antiquated way of checking for understanding. These mini dry erase boards will allow me to assess students by quickly scanning the room and looking at the answers that they've written on their dry erase boards. Here's how it will generally work. I will pose a \""check for understanding\"" question during a lesson. Students will write the answer on the mini dry erase board. When prompted, students will hold the boards up and I will look around at their answers and get a generally idea of who understands and who doesn't. My classroom is separated into four sections that I refer to as Quads (A,B,C, and D). On the days that I want to make this a collaborative activity, I will mention if there is a discrepancy in answers. They will then have to work together as a quad to figure out who has the incorrect answer(s) and guide them to the correct one.",,,My students need these mini dry erase boards to allow me to check for understand in a more interactive manner.,3,1
60,145684,p035502,1bfb25f3b0c91d4fbe7fb00f26f11e18,Ms.,CT,2016-08-30 16:33:12,Grades 6-8,Health & Sports,Health & Wellness,Picnic Table To Make Us ABLE To Do More!,"Our school district has partnered with New England Science and Sailing to enrich our STEM program with fantastic hands-on learning opportunities.  Students are outside and active.\r\n\r\n    Students get to do things like, go snor-yaking (snorkeling using kayaks as a platform) to investigate marine species in our area, make anemometers to measure wind speed, learn water safety and swim, and collect, categorize and log marine debris in a national database.\r\n\r\nMy favorite part is taking students sailing. Many of my students have lived in a city on the water all of their lives, but have never experienced being on the water in boats, especially sailboats. We have a partnership that gives students the ability to sail after school recreationally and to learn how to race on the sailing team.","Our team sails after school.  The bell rings, students grab their stuff and head for the bus.  Once they get to the beach we operate out of, they're provided with an after school snack.  Some students sit at the picnic table that's there, but it doesn't fit everyone, so others are left to sit on the cement stairs.  We don't let them sit on the high stairs because it's too close to the road.  After everyone eats, they get dressed and ready to go out on the water.  Before we go out, there's a chalk talk where we introduce what we're going to be doing on the water for practice.  Another picnic table would let all of our students fit and give us have more of a classroom space.  \r\n\r\n    Sailing is a great lifelong sport, but it's also a way to put science theory, especially physics, in practice.  In our area, the Long Island Sound is a big source of economic development and industry. We want our students ready to participate when they graduate.",,,My students need a picnic table for when they go sailing.,33,1
